7,1,0.01,ls,456,None,False,8,1.0,0.9,0.0,auto,None,0,2,3,0:00:08.499,0.69290
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,314,0.005,0,0.0,0:01:40.848,0.69045
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,178,0.009,0,0.0,0:01:31.499,0.68942
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,789,0.008,0,0.0,0:01:34.635,0.68964
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,996,0.02,0,0.0,0:01:26.712,0.68723
None,False,0.9,None,ls,500,auto,4,1,3,2,1.0,791,0.007,0,0.0,0:01:31.577,0.68990
None,False,0.9,None,ls,600,auto,4,1,3,2,1.0,604,0.009,0,0.0,0:01:47.444,0.68901
None,False,0.9,None,ls,400,auto,4,1,3,2,1.0,498,0.009,0,0.0,0:01:13.082,0.68984
None,False,0.9,None,ls,300,auto,4,1,3,2,1.0,156,0.009,0,0.0,0:00:55.621,0.69033
None,False,0.9,None,ls,350,auto,4,1,3,2,1.0,303,0.009,0,0.0,0:01:05.034,0.69007
None,False,0.9,None,ls,450,auto,4,1,3,2,1.0,228,0.009,0,0.0,0:01:21.041,0.68963
None,False,0.9,None,ls,400,auto,4,1,3,2,1.0,461,0.009,0,0.0,0:01:16.815,0.68985
None,False,0.9,None,ls,400,auto,4,1,3,2,1.0,780,0.009,0,0.0,0:02:30.692,0.68987
None,False,0.9,None,ls,400,auto,4,1,3,2,1.0,606,0.009,0,0.0,0:02:27.389,0.68984
